Date,Week,Away Team,Away Score,Home Team,Home Score,Neutral Field
Oct 11 2014,7,Florida State,38,Syracuse,20,
Oct 11 2014,7,Georgia,34,Missouri,0,
Oct 11 2014,7,Idaho,24,Georgia Southern,47,
Oct 11 2014,7,Wyoming,28,Hawaii,38,
Oct 11 2014,7,Houston,28,Memphis,24,
Oct 11 2014,7,Indiana,29,Iowa,45,
Oct 11 2014,7,Toledo,30,Iowa State,37,
Oct 11 2014,7,Louisiana-Monroe,14,Kentucky,48,
Oct 11 2014,7,Liberty,55,Appalachian State,48,
Oct 11 2014,7,Louisiana State,30,Florida,27,
Oct 11 2014,7,Middle Tennessee State,24,Marshall,49,
Oct 11 2014,7,Massachusetts,40,Kent State,17,
Oct 11 2014,7,Cincinnati,34,Miami (FL),55,
Oct 11 2014,7,Penn State,13,Michigan,18,
Oct 11 2014,7,Michigan State,45,Purdue,31,
Oct 11 2014,7,Northwestern,17,Minnesota,24,
Oct 11 2014,7,Mississippi,35,Texas A&amp;M,20,
Oct 11 2014,7,Auburn,23,Mississippi State,38,
Oct 11 2014,7,Virginia Military Institute,14,Navy,51,
Oct 11 2014,7,North Carolina,43,Notre Dame,50,
Oct 11 2014,7,Texas,26,Oklahoma,31,Cotton Bowl - Dallas TX
Oct 11 2014,7,Oklahoma State,27,Kansas,20,
Oct 11 2014,7,Oregon,42,UCLA,30,
Oct 11 2014,7,Rice,41,Army,21,
Oct 11 2014,7,Southern California,28,Arizona,26,
Oct 11 2014,7,Tulsa,24,Temple,35,
Oct 11 2014,7,Chattanooga,10,Tennessee,45,
Oct 11 2014,7,Old Dominion,35,Texas-El Paso,42,
Oct 11 2014,7,Florida International,13,Texas-San Antonio,16,
Oct 11 2014,7,New Mexico State,24,Troy,41,
Oct 11 2014,7,Connecticut,3,Tulane,12,
Oct 11 2014,7,Air Force,16,Utah State,34,
Oct 11 2014,7,Charleston Southern,20,Vanderbilt,21,
Oct 11 2014,7,Washington,31,California,7,
Oct 11 2014,7,West Virginia,37,Texas Tech,34,
Oct 11 2014,7,Western Michigan,42,Ball State,38,
Oct 11 2014,7,Illinois,28,Wisconsin,38,
Oct 14 2014,8,Louisiana-Lafayette,34,Texas State,10,
Oct 16 2014,8,Virginia Tech,16,Pittsburgh,21,
Oct 16 2014,8,Utah,29,Oregon State,23,
Oct 17 2014,8,Fresno State,27,Boise State,37,
Oct 17 2014,8,Temple,10,Houston,31,
Oct 18 2014,8,New Mexico,31,Air Force,35,
Oct 18 2014,8,Texas A&amp;M,0,Alabama,59,
Oct 18 2014,8,Appalachian State,53,Troy,14,
Oct 18 2014,8,Stanford,10,Arizona State,26,
Oct 18 2014,8,Ball State,32,Central Michigan,29,
Oct 18 2014,8,Tulane,13,Central Florida,20,
Oct 18 2014,8,Cincinnati,41,Southern Methodist,3,
Oct 18 2014,8,Clemson,17,Boston College,13,
Oct 18 2014,8,Utah State,13,Colorado State,16,
Oct 18 2014,8,Virginia,13,Duke,20,
Oct 18 2014,8,Western Kentucky,38,Florida Atlantic,45,
Oct 18 2014,8,Notre Dame,27,Florida State,31,
Oct 18 2014,8,Arkansas,32,Georgia,45,War Memorial Stadium - Little Rock AR
Oct 18 2014,8,New Mexico State,17,Idaho,29,
Oct 18 2014,8,Kansas State,31,Oklahoma,30,
Oct 18 2014,8,Army,17,Kent State,39,
Oct 18 2014,8,Kentucky,3,Louisiana State,41,
Oct 18 2014,8,Texas-San Antonio,20,Louisiana Tech,27,
Oct 18 2014,8,North Carolina State,18,Louisville,30,
Oct 18 2014,8,Marshall,45,Florida International,13,
Oct 18 2014,8,Iowa,31,Maryland,38,
Oct 18 2014,8,Eastern Michigan,14,Massachusetts,36,
Oct 18 2014,8,Michigan State,56,Indiana,17,
Oct 18 2014,8,Alabama-Birmingham,22,Middle Tennessee State,34,
Oct 18 2014,8,Purdue,38,Minnesota,39,
Oct 18 2014,8,Tennessee,3,Mississippi,34,
Oct 18 2014,8,Missouri,42,Florida,13,
Oct 18 2014,8,Nebraska,38,Northwestern,17,
Oct 18 2014,8,Nevada,42,Brigham Young,35,
Oct 18 2014,8,Georgia Tech,43,North Carolina,48,
Oct 18 2014,8,Miami (OH),41,Northern Illinois,51,
Oct 18 2014,8,Akron,20,Ohio,23,
